
                     b5c6             109                             ID        Not a number                     DIVIDE       YES                 Leaf node 
                        /             109                         DIVIDE        Not a number                   ASSIGNOP        NO                     DIVIDE
                d5cb34567             109                             ID        Not a number                     DIVIDE       YES                 Leaf node 
                    write             110                        IOWRITE        Not a number                    PROGRAM        NO                    IOWRITE
                       d4             110                             ID        Not a number                    IOWRITE        NO                         ID
                    maths             110                        FIELDID        Not a number                         ID       YES                 Leaf node 
                    write             111                        IOWRITE        Not a number                    PROGRAM        NO                    IOWRITE
                       d4             111                             ID        Not a number                    IOWRITE        NO                         ID
                  physics             111                        FIELDID        Not a number                         ID       YES                 Leaf node 
                    write             112                        IOWRITE        Not a number                    PROGRAM        NO                    IOWRITE
                       d4             112                             ID        Not a number                    IOWRITE        NO                         ID
                chemistry             112                        FIELDID        Not a number                         ID       YES                 Leaf node 
                    _main              77                  MAIN_FUNCTION        Not a number                    PROGRAM        NO              MAIN_FUNCTION
                   return             113                         RETURN        Not a number                    PROGRAM       YES                 Leaf node 
